location,distance(kpc),SMA(au),eccentricity,m1/m_sun,m2/m_sun,SNR
ngc2808_ejected,8.9,0.086563547,0.395400705,18.025703,18.303755,0.065354821
ngc1904_ejected,12.2,0.061894969,0.203527804,18.850898,15.629008,0.064565724
ngc6441_ejected,9.2,0.086563547,0.395400705,18.025703,18.303755,0.063223685
ngc6535_ejected,6.6,0.710457905,0.944772801,19.671998,18.328009,0.061451386
ngc3201_ejected,4.9,0.260797562,0.799938535,17.289199,20.982578,0.061403901
ngc6656_ejected,3.1,0.192193293,0.725822039,16.178455,14.783603,0.060300133
ngc6752_ejected,3.8,0.486895277,0.872042232,16.721352,35.396912,0.059416856
ngc6273_ejected,8.3,0.105569551,0.538252428,17.864106,15.396291,0.059369085
ngc6553_ejected,4.1,0.075841436,0.555018847,7.8353913,8.0292527,0.059044744
ngc5824_ejected,32.2,0.048139984,0.258462877,16.582551,12.788819,0.058839746
ngc5139_ejected,4.9,0.132144272,0.139811317,29.186592,55.30665,0.058757981
ngc6402_ejected,8.4,0.105569551,0.538252428,17.864106,15.396291,0.05866231
ngc6139_ejected,9.1,0.072093745,0.451688039,11.573288,12.68921,0.058528932
ngc7078_ejected,10.0,0.086563547,0.395400705,18.025703,18.303755,0.05816579
ngc5824_ejected,32.2,0.109097473,0.792099273,13.066553,8.1671502,0.056467487
ngc104_ejected,4.1,0.140946678,0.558276977,17.921491,19.638828,0.056324034
ngc6266_ejected,6.6,0.093776386,0.184282736,35.879185,16.921792,0.055824109
ngc6584_ejected,12.5,0.132877775,0.694292854,15.048701,16.469914,0.055637119
ngc5946_ejected,11.9,0.083296319,0.530677023,12.914582,13.550984,0.055191846
ngc5946_ejected,11.9,0.175188775,0.831704307,11.710313,10.98934,0.055001047
ngc6809_ejected,5.1,0.247448791,0.717865387,27.497855,24.693828,0.054697981
ngc5286_ejected,11.3,0.066221493,0.299781377,17.168441,12.979876,0.053940032
ngc6388_ejected,10.9,0.086563547,0.395400705,18.025703,18.303755,0.05336311
ngc6517_ejected,10.1,0.072093745,0.451688039,11.573288,12.68921,0.052733988
ngc4372_ejected,4.6,0.144451809,0.289953887,29.239033,40.5,0.050759385
ngc6316_ejected,10.9,0.072093745,0.451688039,11.573288,12.68921,0.048863604
ngc6121_ejected,2.1,0.198732205,0.706591961,14.462256,14.620061,0.048352335
ngc6752_ejected,3.8,0.111523334,0.436316405,16.861954,16.597825,0.048330034
ngc6284_ejected,13.8,0.083296319,0.530677023,12.914582,13.550984,0.047592969
ngc6284_ejected,13.8,0.175188775,0.831704307,11.710313,10.98934,0.047428439
ngc6779_ejected,9.7,0.290140892,0.867959976,17.514186,13.635435,0.047147664
ngc6266_ejected,6.6,0.15657409,0.653638425,19.364551,16.169325,0.045634731
ngc6205_ejected,6.8,0.146133272,0.649845869,16.268251,16.535731,0.04546915
ngc6528_ejected,7.0,0.085202988,0.646179936,7.9652097,7.589724,0.045274884
pal_6_ejected,6.2,0.319155664,0.925751023,7.655088,7.7811735,0.044429932
ngc6356_ejected,13.8,0.066221493,0.299781377,17.168441,12.979876,0.044168287
ngc6121_ejected,2.1,0.127422816,0.454764622,15.595909,15.827051,0.043997792
ngc6397_ejected,2.2,0.259166664,0.646653877,23.075517,29.667808,0.043831942
ngc5897_ejected,12.4,0.326816844,0.754325463,40.5,40.5,0.043627913
ngc4372_ejected,4.6,0.278732411,0.790282204,16.669975,22.670462,0.043476977
ngc6553_ejected,4.1,0.222766636,0.828452851,14.845617,7.4624525,0.043278745
ngc6981_ejected,16.2,0.132877775,0.694292854,15.048701,16.469914,0.042929876
ngc3201_ejected,4.9,0.191731056,0.476874265,52.367142,21.520142,0.042906118
ngc6266_ejected,6.6,0.116533953,0.139643827,27.987063,40.5,0.042516554
ngc6626_ejected,5.5,0.07491425,0.343034117,13.223985,11.191126,0.041715661
ngc5024_ejected,18.1,0.057217355,0.074275381,22.563773,14.28462,0.041611661
ngc1904_ejected,12.2,0.077676969,0.275659043,16.473184,20.644204,0.041520189
ngc2808_ejected,8.9,0.093776386,0.184282736,35.879185,16.921792,0.041397654
ngc6266_ejected,6.6,0.088144268,0.139771465,21.044207,23.93546,0.041387044
